,ï»¿id,scrape_id,neighbourhood_group_cleansed,latitude,longitude,bathrooms,bedrooms,beds,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,host_id,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
0,958.0,20200000000000.0,0.0,37.77028,-122.43317,0.0,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,0.0,4.87,4.93,4.92,4.95,4.88,4.98,4.76,2.31,1169.0,1.0,1.0,3.0,2.0,30.0,8,22,30,128,18.5,3.6,0.2,1.0,1.0,0.0,0.0
1,5858.0,20200000000000.0,0.0,37.74474,-122.42089,0.0,2.0,2.0,30.0,30.0,60.0,60.0,30.0,60.0,0.0,4.88,4.85,4.87,4.89,4.85,4.77,4.68,0.66,8904.0,2.0,2.0,4.0,30.0,60.0,30,60,90,365,111.0,0.0,0.0,1.0,1.0,0.0,0.0
2,8142.0,20200000000000.0,0.0,37.76555,-122.45213,0.0,1.0,1.0,32.0,32.0,90.0,90.0,32.0,90.0,0.0,4.67,4.9,4.9,4.78,4.78,4.67,4.67,0.09,21994.0,13.0,14.0,1.0,32.0,90.0,30,60,90,365,9.0,1.0,0.0,13.0,0.0,0.7,0.0
3,8339.0,20200000000000.0,0.0,37.77564,-122.43642,0.0,2.0,2.0,9.0,9.0,91.0,91.0,9.0,91.0,0.0,4.87,4.88,5.0,4.94,5.0,4.94,4.75,0.17,24215.0,2.0,6.0,4.0,9.0,91.0,30,60,90,365,28.0,0.0,0.0,2.0,2.0,0.0,0.0
4,8739.0,20200000000000.0,0.0,37.7603,-122.42197,0.0,1.0,1.0,1.0,1.0,26.0,26.0,1.0,26.0,0.0,4.91,4.94,4.94,4.95,4.96,4.93,4.74,0.8,7149.0,2.0,2.0,3.0,1.0,26.0,16,45,75,159,18.5,3.6,0.2,2.0,0.0,2.0,0.0
5,142177.0,20200000000000.0,0.0,37.7844,-122.47932,0.0,2.0,2.0,5.0,5.0,25.0,25.0,5.0,25.0,0.0,4.91,4.93,4.88,4.95,4.97,4.78,4.8,1.69,656263.0,1.0,2.0,4.0,5.0,25.0,11,32,32,32,18.5,13.0,2.0,1.0,1.0,0.0,0.0
6,490931.0,20200000000000.0,0.0,37.74766,-122.42041,0.0,1.0,1.0,30.0,30.0,60.0,60.0,30.0,60.0,0.0,4.76,4.82,4.75,4.9,4.78,4.77,4.66,0.74,1269188.0,1.0,3.0,2.0,30.0,60.0,15,27,57,331,80.0,1.0,0.0,1.0,0.0,1.0,0.0
7,10537.0,20200000000000.0,0.0,37.7175,-122.39698,0.0,1.0,1.0,1.0,1.0,90.0,90.0,1.0,90.0,0.0,4.94,4.79,5.0,4.86,5.0,4.9,4.46,0.12,36752.0,2.0,3.0,2.0,1.0,90.0,30,60,90,365,19.0,1.0,0.0,2.0,0.0,2.0,0.0
8,491867.0,20200000000000.0,0.0,37.77196,-122.43477,0.0,3.0,3.0,2.0,2.0,31.0,31.0,2.0,31.0,0.0,4.85,4.86,4.86,4.98,4.91,4.91,4.75,0.44,969518.0,2.0,3.0,5.0,2.0,31.0,0,2,7,7,56.0,14.0,1.0,1.0,1.0,0.0,0.0
9,144242.0,20200000000000.0,0.0,37.78546,-122.46148,0.0,3.0,3.0,3.0,3.0,60.0,60.0,3.0,60.0,0.0,4.86,4.95,4.89,5.0,5.0,4.89,4.95,0.15,699215.0,2.0,2.0,6.0,3.0,60.0,6,6,6,64,22.0,0.0,0.0,1.0,1.0,0.0,0.0
